176253337504656, 321166281702430, 134367602892386 @ 190, 8, 338
230532038994496, 112919194224200, 73640306314241 @ 98, 303, 398
326610633825237, 321507930209081, 325769499763335 @ -67, -119, -75
247597416289076, 294541805320942, 222921323057425 @ -76, 40, -40
219025967354328, 361186328321686, 241687357180579 @ 58, -211, -65
372359771882552, 76778470212430, 360552268328115 @ 8, 112, 30
185719493557436, 184988040533430, 284105035911675 @ 189, 142, -9
203350508078559, 353196642881789, 168992213951583 @ -99, -217, 37
215041538571688, 261983761814542, 30036361033707 @ 92, 80, 588
191772314964910, 331891699815218, 159959225249315 @ 32, -12, 137
188390895306356, 323017504033518, 143258439878012 @ 74, 56, 292
241032483220762, 273946143592054, 314202493995590 @ -132, 208, -590
322724794094928, 168971359363982, 264329777733723 @ -7, 96, 78
282225836731892, 258184520380704, 432469014208943 @ -208, 179, -845
335006101642675, 214944190047062, 345799401519091 @ -49, 48, -71
243127373372461, 344586335257515, 278964848969231 @ 9, -157, -131
248982587505499, 282379544699373, 254951135590806 @ 53, -29, 24
218517436712751, 279881583623855, 221309378701461 @ 165, -95, 171
201344663378793, 324270445529824, 106864302878177 @ 73, -50, 451
214205720775453, 265048784755076, 178735119751719 @ 165, -70, 213
225165131928000, 291704030885918, 225203540432210 @ -98, 168, -208
475376478896904, 252190888405334, 489051426486339 @ -104, -67, -109
422418013849322, 554016073013455, 540786322114909 @ -108, -433, -257
206849576643536, 355725138577610, 351023507435691 @ 144, -183, -165
196792993315330, 251374701956134, 196625476501319 @ 183, -44, 187
194874223777917, 288040902032828, 154524880108370 @ 43, 294, 200
371401572831816, 109743759343214, 256669453937408 @ -26, 120, 118
324041512721122, 460308818405878, 413489182559081 @ 57, -284, -26
201988983484461, 33530661625835, 54503525460031 @ 175, 249, 373
289435276881196, 227885046432882, 192185250850189 @ 84, -34, 200
267545370673336, 226058514139350, 280535180072911 @ 54, 38, 26
437397710420513, 503336440310804, 348159441566236 @ -309, -474, -146
336880662342287, 181455123206076, 369250135310108 @ 23, 26, -8
193435450377940, 343457959530462, 164365694225861 @ -24, -112, 64
399019101977432, 180083402002894, 336109868740851 @ -39, 20, 39
269896055009346, 268123471127345, 273982976479816 @ -8, 15, -38
261914840973816, 241127837572814, 160786917788859 @ -26, 120, 215
329360656804671, 259818050891582, 157350493626186 @ -41, -24, 234
396166320289848, 269532301299150, 296491261979763 @ -98, -58, 42
316383197957016, 176043760832590, 336438174621971 @ 7, 80, -22
357839292100589, 179922806808280, 376864625157117 @ 5, 22, -9
268701037901331, 279796111991450, 359076800837196 @ 85, -76, -34
199741989651618, 398365873986941, 158852212380507 @ 72, -429, 193
395908721664111, 334923811971210, 404155637732806 @ -251, -140, -284
298582501173140, 240697839006794, 405212675397763 @ 63, -39, -59
350788058345236, 186425614032050, 372205158528931 @ 39, -9, 29
266507844040964, 266665412537790, 309208143785379 @ 53, -28, -27
515000929796592, 306199183140710, 418886833891527 @ -192, -118, -72
458016278283777, 265614488174003, 507989364943212 @ -93, -79, -138
225031137044988, 267215996584238, 213405023346915 @ 95, 16, 101
359364911438112, 148014287007614, 314189660544243 @ 7, 54, 65
167555060795616, 121412330859050, 164337470677521 @ 222, 196, 223
296368167496101, 185108296941288, 384769163259273 @ 79, 10, -9
186199893062380, 292400670851786, 138027697911021 @ 72, 414, 354
240374083630128, 297075170635382, 206718186312699 @ -65, 43, 8
273697151428950, 103192735856786, 334356347381823 @ 63, 198, -29
284607937061796, 275683153001390, 318494589703506 @ 66, -72, 24
241873578065808, 304196814271019, 199489584901788 @ -114, 41, 6
323957152118536, 240869888753922, 344964044743771 @ 14, -26, -11
376081849085941, 169294729973085, 335940549492406 @ -19, 37, 34
182892028603866, 260753902273676, 5542414963451 @ 169, 213, 869
336528083216292, 319503203669060, 264763056632949 @ -212, -93, -54
296363361617310, 412946644623933, 386446417835053 @ 28, -265, -109
437772641819320, 334518509323278, 240164505255315 @ -54, -154, 156
553883882644947, 410046121036970, 460599146570595 @ -157, -228, -55
289707820563636, 396411261798749, 281693578345137 @ -86, -291, -93
392495184649152, 281721668244990, 395571893999724 @ -50, -88, -48
257207409719238, 269315211703249, 270869677691546 @ -224, 241, -386
247352053806072, 219822972936174, 241851943370483 @ 40, 131, 31
357574970563348, 316631929735882, 251867587227403 @ -25, -127, 115
225629827509066, 337587927885262, 131778635619677 @ -101, -104, 346
295885776610816, 288000843971234, 211744728841067 @ 24, -75, 151
326022178156299, 211797792163172, 321212335906995 @ -13, 34, -7
310677127487030, 218810226011143, 253994988550641 @ -60, 89, 39
408068926206075, 308688128015332, 319809508922488 @ -59, -122, 50
425542872529626, 297773847779732, 322414585233033 @ -56, -114, 63
343766818819831, 172956952148029, 143932707899745 @ -31, 83, 255
192009375781050, 376643092694966, 269014458159081 @ 57, -396, -726
190400342480040, 303730982333750, 189334672684371 @ 162, -38, 129
495043649595391, 277983929591200, 402391307377761 @ -235, -70, -105
203864549643834, 445843871450009, 330677841557538 @ 80, -585, -532
271324898811960, 267084691205534, 285494204683755 @ 22, -10, -18
411594613237764, 248041990131980, 257182229284881 @ -60, -53, 124
367196850085135, 265299845117528, 308572651121008 @ -25, -66, 52
389272570034106, 549943298282165, 201466062693906 @ -172, -527, 154
373848165689708, 136832991691014, 299104644707610 @ -22, 80, 72
473160697084568, 160487857001490, 440878419394511 @ -130, 47, -86
280170049205286, 149183833081910, 125636751521031 @ 80, 80, 277
279024814767846, 266464861769810, 289009273656615 @ 19, -18, -9
490691436616944, 390916852276532, 367315259369940 @ -130, -214, 12
395658285951615, 206761934709911, 428293253445906 @ -5, -29, -26
246299681346124, 252894528406268, 250172543520887 @ 68, 21, 47
425868667996815, 359727298673662, 330491874328510 @ -143, -184, -8
93014584437930, 79092592772816, 181611681947523 @ 328, 218, 201
201602708725616, 185127851054890, 293423360131531 @ 180, 23, 79
333356731903056, 357209684397110, 194072655195651 @ 32, -178, 197
343437803053648, 171411935651110, 308402806875439 @ -124, 182, -68
125704149692710, 195503390530568, 224303774660459 @ 305, 129, 101
318394996958904, 386862439582846, 434258756366471 @ -74, -244, -316
539226062489296, 335332755958170, 335302952339011 @ -264, -151, 5
272965014698856, 114986098218370, 408478728301331 @ 106, 83, -31
300444527398137, 263828848330889, 346842652393206 @ 37, -51, -26
